1 x || 000000
1 x || 000000
1 x || 000000
1 x || 000000
1 x || 000000
1 x || 000000
1 x || 000000
0 x || 000000
0 0 || 000000
0 0 || 000000
0 0 || 100000
0 0 || 100000
0 0 || 110000
0 0 || 110000
0 0 || 111000
0 0 || 111000
0 0 || 000000
0 0 || 000000
0 0 || 000001
0 0 || 000001
0 0 || 000011
0 0 || 000011
0 0 || 000111
0 0 || 000111
0 1 || 000000
0 1 || 000000
0 1 || 001100
0 1 || 001100
0 1 || 011110
0 1 || 011110
0 1 || 111111
0 1 || 111111
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 0 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
0 1 || 000000
